,getScholarshipId,getScholarshipTitle,getProviderId,getProviderName,getProviderLogoSquareCdn,getProviderIsUniversity,getDescriptionOfDestinationCountryRestrictions,getDescriptionOfBenefits,getDescriptionOfDeadline,getIsNotSpecifiedDeadline,getDescriptionOfProviderLocation,getScholarshipVirtualName,getEligibility,getSupportedCountry,getOverall,getLink
727,5824,Don W. Kelsey Memorial Scholarship Fund,14831,Central Michigan University,,True,United States,Various benefits,Not specified,True,"Mount Pleasant, United States",don-w-kelsey-memorial-scholarship-fund,"have been ordinarily resident in either South East Asia, the Middle East, North Africa, Central America, Latin America, North America or Europe during the 3 years before the start of the course (ignoring time spent while studying outside your usual country of residence) 
show promise as a future leader by demonstrating business excellence 
have a conditional or unconditional offer to study on the Master of Business Administration (MBA) 
be paying your own fees  
need to pay the overseas tuition fee 
not be getting any external sponsorship ",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/5824/don-w-kelsey-memorial-scholarship-fund.html
728,5877,Jeanne F. Collins Memorial Scholarship,14831,Central Michigan University,,True,United States,Various benefits,Not specified,True,"Mount Pleasant, United States",jeanne-f-collins-memorial-scholarship,"Preference will be given to students entering a Master’s program.
Full-time students registered in a Master’s program in the Department of Family Relations and Applied Nutrition with a minimum of 80% average during the last two years of study.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/5877/jeanne-f-collins-memorial-scholarship.html
729,6045,Adelson-NSDAR Scholarship,14998,Eastern Michigan University,,True,United States,Various benefits,Not specified,True,"Ypsilanti, United States",adelson-nsdar-scholarship,"Selection will be based on the quality of the student’s statement of research interest/academic intent in their application to the program and their admission average.
Students entering a full-time PhD program or a MSc Program offered by the Department of Food, Agriculture and Resource Economics who are interested in research relating to policy.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/6045/adelson-nsdar-scholarship.html
730,5835,Florence Olive Courville Scholarship,14831,Central Michigan University,,True,United States,Various benefits,Not specified,True,"Mount Pleasant, United States",florence-olive-courville-scholarship,Students entering a full-time Master of Applied Science Engineering (MASc) program with a minimum 75% admission average who have received a baseline funding package.,226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/5835/florence-olive-courville-scholarship.html
731,5978,Target Corporation Endowed Student Award,14831,Central Michigan University,,True,United States,Various benefits,Not specified,True,"Mount Pleasant, United States",target-corporation-endowed-student-award,"OAC Awards will request nominations from units in the Fall. Selection will be based on the strongest admission application package.
Students entering a full-time graduate program in the Department of Food Agricultural and Resource Economics in OAC.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/5978/target-corporation-endowed-student-award.html
732,8558,Erasmus+ - Grants for study mobility in Austria,66,"OeAD, Austria's Agency for Education and Internationalisation",,False,Austria,Various benefits,Not specified,True,,erasmus-grants-for-study-mobility-in-austria,"the Master of Energy Change (Advanced) program or
the Master of Energy Change program and eligible for transfer to the Master of Energy Change (Advanced )
Applicants must have a suitable supervisor and meet conditions for enrolling into SCNC8021 Science Research Project (24 units over 2 semesters).
The research project approved by the supervisor must be in the field of the Hydrogen Economy (Click here)
Applicants must have achieved at least 70% average in the coursework component of the program.Maintain enrolment in SCNC8021.
Actively conduct research under the guidance of their project supervisor.
Participate in and contribute to activities of the Hydrogen Economy research cluster of the ANU Institute for Climate, Energy and Disaster Solutions (ICEDS).",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/8558/erasmus-grants-for-study-mobility-in-austria.html
733,4394,Amad Family Scholarship,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",amad-family-scholarship,"The award winner will be selected on the basis of academic achievement and leadership ability as demonstrated through extracurricular involvement and volunteerism during their undergraduate degree. Student application for admission into the program will be considered as the application for this award.
Full-time students entering into the Masters of Applied Nutrition Program with a minimum 75% cumulative average.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4394/amad-family-scholarship.html
734,8524,Master's Scholarship,383,Education USA,,False,United States,Various benefits,Not specified,True,,masters-scholarship,Graduate students entering the full-time Master of Fine Arts Creative Writing Program.,Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/8524/masters-scholarship.html
735,4790,Police Foundations Leadership Award,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Anytime,False,"Bells Corners, Canada",police-foundations-leadership-award,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor. Awards are assigned based on nominations from eligible academic units. Unless otherwise noted in the award description, you must be a full-time graduate student.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4790/police-foundations-leadership-award.html
736,3444,Alumni Discount,1241,Northumbria University,//storage-prtl-co.imgix.net/endor/organisations/1241/images/1716991980_northumbria-logo.png,True,United Kingdom,Various benefits,Not specified,True,"Newcastle upon Tyne, United Kingdom",alumni-discount,"Eligible courses: MSc Actuarial Science, MSc Actuarial Management (full-time).
Geographical requirements: Permanent residents of India and Southeast Asia.
Academic requirements: Must be able to demonstrate academic excellence.
Financial need: Must be able to demonstrate financial need.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3444/alumni-discount.html
737,899,Keele Alumni Discount,253,Keele University,,True,United Kingdom,Various benefits,Not specified,True,"Keele, United Kingdom",keele-alumni-discount,Students entering the full-time Master of English or Theatre Studies Program.,226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/899/keele-alumni-discount.html
738,132,Deakin Vice-Chancellor’s International Scholarship,11000,Deakin University ,,True,Australia,Various benefits,Not specified,True,"Burwood, Australia",deakin-vice-chancellors-international-scholarship,,225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/132/deakin-vice-chancellors-international-scholarship.html
739,4339,Enbridge Scholarship,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",enbridge-scholarship,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4339/enbridge-scholarship.html
740,4322,Student Services Call Representative Awards,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",student-services-call-representative-awards,"Students entering a full-time Master’s or PhD program in the Ontario Agricultural College and whose area of study is food systems, which may include agriculture, food distribution, food sustainability, food security, nutrition, local food and rural change.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4322/student-services-call-representative-awards.html
741,4314,Ed Ireland Athletic Bursaries,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",ed-ireland-athletic-bursaries,"are enrolled, or intend to enrol, in an approved program
do not hold another scholarship that the Head considers to be similar.financial need;
being from a rural or regional area;
being the first in your family to attend university;
being from a non-English speaking background;
the strength of your personal statement explaining the benefit you would gain from the scholarship;
any other matter the selection committee considers relevant for your future academic success.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4314/ed-ireland-athletic-bursaries.html
742,4383,Alumni Association Award,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",alumni-association-award,"Steinhardt students enrolled in specific majors.Meet the basic eligibility criteria for the federal student aid programs.
Be enrolled as an undergraduate, postbaccalaureate, or graduate student at a school that participates in the TEACH Grant Program.
Be enrolled in a TEACH-Grant-eligible program.
Meet certain academic achievement requirements (generally, scoring above the 75th percentile on one or more portions of a college admissions test or maintaining a cumulative GPA of at least 3.25). For specific information about the academic requirements, talk to the financial aid office at your college or career school.
Receive TEACH Grant counseling that explains the terms and conditions of the TEACH Grant service obligation. You must complete counseling each year that you receive a TEACH Grant.
Sign a TEACH Grant Agreement to Serve or Repay.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4383/alumni-association-award.html
743,4341,Ernest Henderson Mathematics Scholarship,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",ernest-henderson-mathematics-scholarship,"Domiciled in Nigeria, India, Bangladesh, Pakistan, Sri Lanka and Nepal, Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Thailand, Singapore, the Philippines or Vietnam.
Self-financing your tuition fees.
Entering a full-time taught postgraduate course or a full-time taught undergraduate course.
Starting in January.
Studying at Sheffield Hallam for the first time.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4341/ernest-henderson-mathematics-scholarship.html
744,4325,Dwight and Christine Powless Indigenous Achievement Scholarship,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",dwight-and-christine-powless-indigenous-achievement-scholarship,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units. 
Unless otherwise noted in the award description, you must be a full-time graduate student. ",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4325/dwight-and-christine-powless-indigenous-achievement-scholarship.html
745,4395,Annual Award for Excellence,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",annual-award-for-excellence,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4395/annual-award-for-excellence.html
746,5084,International Education Fee Scholarship,15367,Texas Tech University Health Sciences Center,,True,United States,Various benefits,Not specified,True,"Abilene, United States",international-education-fee-scholarship,"To be awarded to a University of Toronto B.Sc. (Major or Specialist) in one of mathematics, physics, chemistry (or a closely related discipline such as astronomy or statistics) student accepted into the Master of Teaching program at OISE and on the basis of academic merit.
The donor wishes that preference be given to students satisfying the above and applying for the elementary program.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/5084/international-education-fee-scholarship.html
747,4775,Award for Academic Excellence,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",award-for-academic-excellence,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4775/award-for-academic-excellence.html
748,8467,Hanken's Scholarship Scheme for Master's degree students - Continuing students,146,Hanken School of Economics,//storage-prtl-co.imgix.net/mp/5de0e6ebf604.png,True,Finland,Various benefits,Not specified,True,"Helsinki, Finland",hankens-scholarship-scheme-for-masters-degree-students-continuing-students,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/8467/hankens-scholarship-scheme-for-masters-degree-students-continuing-students.html
749,8465,Hanken's Scholarship Scheme for Master's degree students - Admission phase,146,Hanken School of Economics,//storage-prtl-co.imgix.net/mp/5de0e6ebf604.png,True,Finland,Various benefits,Anytime,False,"Helsinki, Finland",hankens-scholarship-scheme-for-masters-degree-students-admission-phase,Students entering full-time Master of Science program in the Department of Marketing and Consumer Studies with a minimum 80% admission average.,Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/8465/hankens-scholarship-scheme-for-masters-degree-students-admission-phase.html
750,4398,Peter Mansbridge Convocation Award,18130,Algonquin College,//storage-prtl-co.imgix.net/endor/organisations/18130/images/1706209247_algonqunicollege-monogram-rgb-1393x1203-1.png,True,Canada,Various benefits,Not specified,True,"Bells Corners, Canada",peter-mansbridge-convocation-award,"Open to all eligible candidates to whom the Law School has made an offer
International students",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4398/peter-mansbridge-convocation-award.html
751,8257,VU Block Model International Scholarship,12028,Victoria University,,True,Australia,Various benefits,Anytime,False,"Melbourne, Australia",vu-block-model-international-scholarship,"To be awarded to incoming MSc and PhD graduate students at the Institute of Health Policy, Management and Evaluation who self-identify as Black or Indigenous (First nations, Metis or Inuit).
The successful candidates will demonstrate academic excellence and evidence of engagement in community service or volunteer activities or scholarly activities or leadership activities.",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/8257/vu-block-model-international-scholarship.html
752,885,Global Curtin Scholarships - Alumni and Family Scholarship,11911,Curtin University,//storage-prtl-co.imgix.net/mp/5de0e62d449b.png,True,Australia,Various benefits,15 Oct 2024,False,"Perth, Australia",global-curtin-scholarships-alumni-and-family-scholarship,"Bachelor’s degree or equivalent achieved before 31 July. Degree certificate completed.
Applicants must be born after 31 December 1988.
Invalid: All applications for a second master’s degree.
The candidate: artistic profile, qualification and motivation.
The submitted portfolio: artistic maturity and potential.
The host institute: available study places.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/885/global-curtin-scholarships-alumni-and-family-scholarship.html
753,7893,Chevening Scholarships,154,Durham University,,True,United Kingdom,Various benefits,07 Nov 2024,False,"Durham, United Kingdom",chevening-scholarships,"You must be applying for the first time (combining the Eiffel scholarship with another financial aid from the French government is not possible). Candidates already studying in France are ineligible.
PhD scholarships : international PhD student under 30 years old (born after march 1991), under a co-supervised or co-directed PhD programme in the following fields :You must already be enrolled in a PhD programme to apply to this scholarship.
You must be applying for the first time (combining the Eiffel scholarship with another financial aid from the French government is not possible).",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/7893/chevening-scholarships.html
754,3703,University of Haifa Need-Based Scholarship	,9431,University of Haifa,,True,Israel,Various benefits,Not specified,True,"Haifa, Israel",university-of-haifa-need-based-scholarship,"Selection is based on academic performance in the last two years of study.
Full-time students entering a graduate program in the Department of Family Relations and Applied Nutrition.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3703/university-of-haifa-need-based-scholarship.html
755,6878,Redbird 5 Scholarship,13862,Illinois State University,,True,United States,Various benefits,Not specified,True,"Normal, United States",redbird-5-scholarship,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/6878/redbird-5-scholarship.html
756,910,Global Curtin Scholarships – Merit Scholarship,11911,Curtin University,//storage-prtl-co.imgix.net/mp/5de0e62d449b.png,True,Australia,Various benefits,15 Oct 2024,False,"Perth, Australia",global-curtin-scholarships-merit-scholarship,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/910/global-curtin-scholarships-merit-scholarship.html
757,3530,Fulbright-Cardiff University scholarship,148,Cardiff University,//storage-prtl-co.imgix.net/endor/organisations/148/images/1681300377_cardiff-university-large-logo.jpg,True,United Kingdom,Various benefits,Not specified,True,"Cardiff, United Kingdom",fulbright-cardiff-university-scholarship,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3530/fulbright-cardiff-university-scholarship.html
758,1129,Academic Excellence Scholarship,12905,National Chengchi University,,True,Taiwan,Various benefits,Anytime,False,"Taipei, Taiwan",academic-excellence-scholarship,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. 
 ",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1129/academic-excellence-scholarship.html
759,5927,Scholarships for New Students,139,Dalarna University,,True,Sweden,Various benefits,30 Sep 2024,False,"Falun, Sweden",scholarships-for-new-students,"BMus (Hons) Music;
BMus (Hons) Popular Music;
Any MA/MMus programme in the Music Department.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/5927/scholarships-for-new-students.html
760,4503,AU Graduate Level Student Bursaries,1966,Athabasca University,,True,Canada,Various benefits,Not specified,True,"Athabasca, Canada",au-graduate-level-student-bursaries,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4503/au-graduate-level-student-bursaries.html
761,1735,The Israel Student Authority (Olim),9466,The Hebrew University of Jerusalem,//storage-prtl-co.imgix.net/mp/5de0e90085a1.png,True,Israel,Various benefits,10 Nov 2024,False,"Jerusalem, Israel",the-israel-student-authority,"be a student in the third year of the BA History undergraduate degree programme at Newcastle University;
have achieved an overall mark of 65 or over in your second year of study;
have been in part-time employment during term time for the equivalent of one full semester (12 weeks) of your degree programme so far.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/1735/the-israel-student-authority.html
762,4455,Derrick Rowlandson Memorial Award,1966,Athabasca University,,True,Canada,Various benefits,30 Sep 2024,False,"Athabasca, Canada",derrick-rowlandson-memorial-award,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. 
 ",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4455/derrick-rowlandson-memorial-award.html
763,876,Toronto Met Graduate Development Award (TMGDA),13549,Toronto Metropolitan University,//storage-prtl-co.imgix.net/endor/organisations/13549/images/1665450188_tmu-social-rgb-1667x1667.jpg.jpg,True,Canada,Various benefits,Anytime,False,"Toronto, Canada",toronto-met-graduate-development-award,"You can apply if you have gained a first university degree in the areas of Architecture, Interior Design, Monument Conservation and Building in Existing Contexts/Reconditioning of Old Buildings, Urban Planning/Urban Development, Landscape Architecture, Landscape Planning at the latest by the time they commence their scholarship-supported study programme.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/876/toronto-met-graduate-development-award.html
764,3634,Roehampton College Scholarship,286,University of Roehampton,//storage-prtl-co.imgix.net/mp/5de0e812049b.png,True,United Kingdom,Various benefits,Anytime,False,"London, United Kingdom",roehampton-college-scholarship,,11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3634/roehampton-college-scholarship.html
765,3101,Alumni Discount,286,University of Roehampton,//storage-prtl-co.imgix.net/mp/5de0e812049b.png,True,United Kingdom,Various benefits,Anytime,False,"London, United Kingdom",alumni-discount,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3101/alumni-discount.html
766,3257,RIT Master Up NY,12100,Rochester Institute of Technology,,True,United States,Various benefits,Anytime,False,"Rochester, United States",rit-master-up-ny,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3257/rit-master-up-ny.html
767,2599,RIT Master Plan ,12100,Rochester Institute of Technology,,True,United States,Various benefits,Not specified,True,"Rochester, United States",rit-master-plan,"To qualify for any graduate scholarships you must be unconditionally admitted to a master's or doctoral degree program and be registered in enough units in your graduate degree program.
Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2599/rit-master-plan.html
768,1436,Graduate Tuition Scholarships,12100,Rochester Institute of Technology,,True,United States,Various benefits,Anytime,False,"Rochester, United States",graduate-tuition-scholarships,"Applicants must hold an undergraduate degree in any field, as well as a minimum of three years of work experience. Furthermore, an above average GMAT score is required. 
Only applicants who apply for HHL’s full-time MBA Program are eligible to apply for this scholarship. ",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1436/graduate-tuition-scholarships.html
769,3877,LSBU Loyalty Award,11506,London South Bank University,//storage-prtl-co.imgix.net/mp/5de0e5f19ced.png,True,United Kingdom,Various benefits,Not specified,True,"London, United Kingdom",lsbu-loyalty-award,"Applicants from all African countries and South East Asia (India, Pakistan, Bangladesh, Bhutan, Maldives, Nepal, Pakistan, Sri Lanka) countries.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3877/lsbu-loyalty-award.html
770,1057,Senior College Scholarships,12003,Louisiana State University,,True,United States,Various benefits,Anytime,False,"Baton Rouge, United States",senior-college-scholarships,Open to successful MBA applicants who have set up or have been working in an entrepreneurial venture or those who plan to after the MBA.,Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1057/senior-college-scholarships.html
771,5102,Texas Tech University Health Sciences Center Jerry H. Hodge School of Pharmacy Presidential Scholarship,15367,Texas Tech University Health Sciences Center,,True,United States,Various benefits,Not specified,True,"Abilene, United States",texas-tech-university-health-sciences-center-jerry-h-hodge-school-of-pharmacy-presidential-scholarship,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor.
Awards are assigned based on nominations from eligible academic units.
Unless otherwise noted in the award description, you must be a full-time graduate student. ",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/5102/texas-tech-university-health-sciences-center-jerry-h-hodge-school-of-pharmacy-presidential-scholarship.html
