title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
Keith Williams Law Group Semi Annual Scholarship,Keith Williams Law Group,"The Keith Williams Law Group Semi-Annual Scholarship seeks to help students who have fought through adversity in their lives in order to better themselves through education.  Understanding that, for many possible reasons, not everyone has been a straight A student with perfect test scores, we seek to help those who have had difficulty in school and fought through it—whether it be the result of a difficult home life, socio-economic disadvantages, learning disabilities, ethnic/racial/gender or other biases, just plain stubborn orneriness and misbehavior early in life, or any other reason.

Whatever issues you have overcome in the past (and might be continuing to overcome at the present), those issues do not determine your future.  We at the Keith Williams Law Group are living proof of that, and the Keith Williams Law Group Semi-Annual Scholarship therefore seeks to help you as you work to overcome whatever issues you might have faced and to create a bright, successful future for yourself through education.

The Keith Williams Law Group Semi-Annual Scholarship provides a $1,500 scholarship, with two winners to be chosen each year, 1 per semester.  Each winner will receive $1,500 to use toward pursuit of their higher education.","Eligibility:
* High School seniors who have been accepted to a college or university.
* Currently enrolled students in any college or university, including graduate/professional schools.
* No minimum GPA required to qualify.
* Applicants must have overcome adversity in their lives and difficulty in school.
* One entry per person, per semester.

How To Apply:
* Applicants must submit an essay of no more than 800 words written by the applicant that explains the adversity in your life and difficulty in school that you have overcome and fought through to get where you are today, and how your continuing education will help you continue to create your own bright future.

* Submit your essay at https://www.keithwilliamslawgroup.com/scholarship/. 
Include your full name, a contact phone number, the name of the high school you are currently attending or graduated from, and the name of the college/university in which you are currently attending or have been accepted into.",$1500.00,Unrestricted,Unrestricted,10 Dec 2016,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/2817/
IGlobal First Country Scholarship,IGlobal University,"The First Country Scholarship was created to promote cultural diversity at IGlobal University.  The 50% scholarship is available to the first student from each country to study at IGlobal University in each program, not applicable to internal transfer students.  The student must be English proficient - IELTS 6.0, TOEFL 70, or WAEC C6.  The scholarship only covers tuition.",,Up to $2700,United States,Unrestricted,,United States,"Includes: Tuition
Does Not Include: Books, Fees, or Living Expenses",100,https://www.internationalscholarships.com/scholarships/2245/
Custom Creatives Digital Marketing Scholarship,Custom Creatives,"This scholarship was established by Rahul Alim, CEO of Custom Creatives, an entrepreneur and digital marketing veteran who started in the field in 2002 and founded Success Marketing Solutions, Inc. in 2004 and Custom Creatives in 2006 to deliver high quality graphic/web design and online marketing services to clients and partners. Custom Creatives would like to support the next generation of students interested in various aspects of the ever-changing, fast-growing Digital Marketing industry.","The scholarship is available for students (U.S. residents or permanent residents only) currently attending a college or junior college, who will still be enrolled by the Custom Creatives Digital Marketing Scholarship December 1st notification date.","$1,000",Unrestricted,Unrestricted,May 31st.,Unrestricted,,2,https://www.internationalscholarships.com/scholarships/2823/
"DirectTextbook.com ""Shine"" Photo Essay Contest","Direct Textbook, INC","Submit your original photo that captures the essence of what the theme ""Shine"" means to you. Applications will no longer be accepted after January 16th, 2017. Once the contest is closed, all entries will be reviewed. The winners of each award will be notified by email on or before January 30th, 2017.

See website for more details and to apply:
http://www.directtextbook.com/photocontest","A high school graduate with a most recent GPA of 2.0 or above, enrolled in an accredited 2 or 4 year college or university for Winter or Spring term of 2017, a legal resident of the United states and not currently incarcerated.",$500,Unrestricted,Unrestricted,"January 16th, 2017",Unrestricted,,6,https://www.internationalscholarships.com/scholarships/2822/
Int'l Honors Scholarship,Troy University,"NOTE: This award is available to transfer applicants of Troy University as well as Troy University applicants

International Honor’s Scholarship
This scholarship is guaranteed to international undergraduate students who excel during their studies at Troy University and who are not currently receiving any other scholarship award.","To Qualify: Have completed at least 30 semester credit hours at the Troy campus and have a cumulative GPA of 3.0 or higher. The 2015-16 value is equal to half tuition, currently $287 (Fall 2015) per credit hour and remains in effect as long as the student keeps a cumulative 3.0 GPA or higher.","$9,000",United States,Unrestricted,Nonce,United States,"Tuition reduction. What does this mean in real $$$: Tuition deduction per year based on 24 credit hours would be about $6,500 or $8,500 when taking 30 credit hours. Approximately total cost per academic year after discount would be approximately $17-18,000.",Unlimited,https://www.internationalscholarships.com/scholarships/2741/
Southwestern Rugs Depot Scholarship,Southwestern Rugs Depot,We're a small shop that sells premium southwestern rugs.  Minimum 300 word essay on why decor matters.,Open to all currently enrolled college students. Apply at the link below.,$500,United States,Unrestricted,January 2nd,United States,,1,https://www.internationalscholarships.com/scholarships/2792/
Scholarships for Masters Programs at HSE University in Russia,Russian Government,"Applications are currently being accepted for full-tuition scholarships to study at National Research University – Higher School of Economics in Moscow and St. Petersburg. All international students seeking English- or Russian-language graduate education are encouraged to apply.

HSE University is one of the top universities in Russia and one of the leaders in Eastern Europe and Eurasia in economics and social sciences. Our students come from all over the world to study in English or Russian in Bachelor’s, Master’s, and non-degree programmes.

Fields of study: Computer Science, Economics, Humanities, International Affairs, Management, Mathematics, Social Sciences

How to apply: To apply for a scholarship, please fill out the standard HSE online application form (available here) and indicate that you wish to be considered for a scholarship. In your application, you may apply to two programs.

Scholarship details: Scholarships cover the full cost of tuition for Master’s programs over the course of two years. Subsidized accommodation at HSE dormitories is available for around 1400 rubles per month.","Eligibility:You must already holda Bachelor’s degree or earn one before the program start date (September 2017). If English is not your native language, IELTS or TOEFL exams are required to demonstrate you proficiency.  For full program requirements, please consult individual program pages.

Scholarships are available for the following English-taught Master’s programs:

- Big Data Systems
- System and Software Engineering
- Statistical Learning Theory
- Finance
- Financial Economics
- Strategic Corporate Finance
- Applied and Interdisciplinary History: Usable Pasts
- Linguistic Theory and Language Description
- Governance of Science, Technology, and Innovation
- Mathematics
- Applied Social Psychology
- Cognitive Sciences and Technologies: From Neuron to Cognition
- Comparative Social Research
- Political Analysis and Public Policy
- Economics. Philosophy
- Population and Development
- Comparative Politics of Eurasia
- Socioeconomic and Political Development of Modern Asia","Full cost of tuition (210,000 - 370,000 rubles)",Russia,Unrestricted,"Round 1: Feb. 1, 2017 / Round 2: May 1, 2017",Russia,,800+,https://www.internationalscholarships.com/scholarships/2829/
Howtostartablog.com scholarship,howtostartablog.com,"Students should follow the free guides available here on HowToStartABlog.com to create a blog about a passion of theirs and on that blog, post a video explaining how they think blogging will impact the future of the digital age and working in America.",,$2500 USD,Unrestricted,Unrestricted,Applications are accepted year-round,Unrestricted,,Unlimited,https://www.internationalscholarships.com/scholarships/2830/
Annual CGTrader Scholarship,CGTrader,"Each semester CGTrader challenges students to dig into the field of technology by writing an essay on how innovative technologies are transforming our lives.

Enter the CGTrader Scholarship 2017 challenge to win $3,000 for your education bills. The best submission will be awarded $2,000 while the two runners-up will receive $500 each.
Write and submit an original essay on the topic “The future of technology in education”.","Minimum 2.5 GPA
High school senior, undergraduate or graduate student
Full-time enrolled in academic institution Jan 1, 2017 - May 31,2017",3000$,Unrestricted,Unrestricted,"June 1, 2017",Unrestricted,,3,https://www.internationalscholarships.com/scholarships/2833/
NextGen Scholarship,P.E.R.K. Consulting,"The NextGen Scholarship Fund was created for international students and non-citizens who come to the United States with the hopes of obtaining higher education to create a better life for themselves and their families. It is a scholarship program for students in Washington DC, Maryland or Virginia. One annual award will be given to a qualified and outstanding high school senior or a current college student at a two-year or four-year college. 

To qualify for this scholarship, applicants must have a minimum 3.0 GPA and be an international student or non-citizen enrolled in a US school. Applications are judged on merit and financial need. One scholarship in the amount of $1,000 will be awarded each Fall.","Students must reside or attend school in Washington DC, Maryland or Virginia","$1,000",United States,Unrestricted,"March 31, 2017",United States,,1,https://www.internationalscholarships.com/scholarships/2326/
Making a Difference Community College Scholarship,NEFCU,"The Making a Difference Community College Scholarship provides five (5) $1,000 scholarships to undergraduate students who are enrolled in an accredited community college.","Four Application Requirements: 
1, completed online application form via myNEFCU.org/scholarships;
2, completed essay on assigned topic (the essay topic is available online on the application page); 
3, unofficial school transcript (student must have a minimum GPA of 3.0); 
4, resume.


Eligibility Requirements:  
The student applicant must be a member or the applicant must have a parent/guardian who is a NEFCU member to be an eligible candidate (NEFCU Membership can be submitted online at https://www.mynefcu.org/open-account/)","$1,000.00 USD",Unrestricted,Unrestricted,"February 15, 2017",Unrestricted,,Five (5),https://www.internationalscholarships.com/scholarships/2836/
Parking Solutions Scholarship by Parking BOXX,Parking BOXX,"Parking BOXX understands the extensive need for higher education and wants to support students with their school-related expenses. We at Parking BOXX are impressed by the creativity and drive of students. Their energy and commitment to achieve their goals have really inspired us and we would love to commend those outstanding students who have made a difference in the lives of others in some innovative or technological fashion. In order to achieve this, we have established a scholarship for students who meet the correct criteria.","To provide a scholarship to a student in university/college or a high school student. Eligible students will submit an essay regarding the parking industry and offers a unique perspective and solution. The essay submitted must be the applicant’s original work. All submissions must be sent by October 15, 2017. Please send your application in at https://parkingboxx.com/parking-solutions-scholarship-parking-boxx/",1000,Unrestricted,Unrestricted,"October 15, 2017",Unrestricted,Refer to https://parkingboxx.com/parking-solutions-guide/ for a guide/for ideas regarding the essay.,1,https://www.internationalscholarships.com/scholarships/2839/
Luxury Home Stuff Internet Marketing Scholarship,Luxury Home Stuff,"By providing LuxuryHomeStuff Internet Marketing Scholarship, we'll help students with the passion for internet marketing and they'll have more chances to revolutionize their abilities. There will be one student who is deserved to receive $1,000 yearly. This can be utilized on course materials, books and other resources.

Your Topic is about your online marketing plan for your future online business.

Assuming that you have $2,000 on your total budget, please write a short online marketing plan (500-1000 words long) on how you use the money to x10 times or x20 times your budget within 12 months.

To apply, please visit our scholarship page.
Remember! we don't pick up our business phone and please send your application to our scholarship email on our website.","Criteria in assessing your entry:
Originality
Feasibility
Creativity
On the first page of your word file, please include the following:
Your full name, telephone number and mailing address
The name of the school you attend
Proof that you are a student of the school you specified
Your area of study",$1000,United States,United States,"Nov 30th, 2017",United States,,1,https://www.internationalscholarships.com/scholarships/2841/
The RewardExpert Study Abroad Scholarship,RewardExpert,"The RewardExpert Study Abroad Scholarship is established to help students to pursue their higher education in new countries

The scholarship is designed to assist with the cost of tuition, travel expenses, room, or board for students pursuing study abroad opportunities.

Two $1,000 scholarships will be awarded annually to deserving students who are attending an accredited 2- or 4-year college within the United States of America.","Scholarship Requirements

1. Must be a student at an accredited university within the U.S.
2. Must be attending a 2- or 4- year college during the 2016-17 school year.
3. Minimum cumulative GPA must be 3.3/4.0.
4. Applicants must be in the process of applying to, or accepted for, a study abroad program that is eligible for credit from the student’s home institution.
5. Fill out the short biographical information on the landing page and upload all required documents at the same time:
2 Essays
Copy of official transcript with school seal (high school or college)
Recommendation letter by teacher/guidance counselor on school letterhead/signed/dated/ and include their contact information (max. 1 page)
6. All documents must be submitted by April 15, 2017 (5:00 p.m. EST) on the landing page. No late documents accepted.","$1,000",United States,Unrestricted,"April 15, 2017",United States,,2,https://www.internationalscholarships.com/scholarships/2845/
BuyingNote Digital Marketing Scholarship Program 2017,XsolveIT,"We have created the BuyingNote Digital Marketing Scholarship for Undergraduate or Post graduate students with the passion of writing on the topic of “Benefits of digital marketing over traditional marketing” to receive $1000 award. 

Students who are currently studying in any disciplines on undergraduate or post graduate can apply for this scholarship.",,1000,Unrestricted,Unrestricted,,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/2843/
Latin American Master's Scholarship,International Business School,"The Latin American Master's Scholarship offers 20% discount from the programme fee for applicants for any Master's programme that IBS offers in cooperation with The University of Buckingham (Financial Management, Human Resource Management, International Management, Marketing Management).

Applicant must meet the following criteria in addition to the general entry requirements:
•must be a citizen of a non-English speaking Central or South American country.
•must have IELTS with overall band score 6.5 (with at least 6.0 in each component) or TOEFL 90 iBT. The language certificate should not be older than 2 years.
•must attach a motivation letter to the scholarship email (minimum 200 words).","Application process:

Applicant should first apply online for the Master's programme of IBS and upload the required documents (Bachelor's degree or official transcript if degree is not available yet, passport and IELTS or TOEFL language certificate).

Applicant is supposed to indicate simultaneously his/her respective wish to be granted a Latin American Master's Scholarship by emailing to the email below and attaching the motivation letter.

Applications will be approved by the Rector in May and there is no appeal against his decision. If the scholarship is approved, applicant must pay the first semester's fee with the one-time registration fee of EUR 900 latest until 30 June. The second semester's fee is due in January. 
Deadline of scholarship application: 30 April",20% of the tuition fee,Unrestricted,Brazil,April 30,Unrestricted,,Unlimited,https://www.internationalscholarships.com/scholarships/2588/
Excellence scholarship non-EEA,Tilburg School of Economics and Management,"Tilburg School of Economics and Management aims to attract the world’s brightest students to its international classrooms. The School is delighted to offer several merit based scholarships for our Master’s programs, for students from Turkey, Colombia and China.
https://www.tilburguniversity.edu/education/masters-programmes/tuition-fees-scholarships/Excellence-Scholarship-nonEEA-1/","For whom
This scholarship is not meant for currently enrolled Tilburg University students.
Application for the scholarship is open for prospective MSc students, starting their studies in the academic year 2017/2018 at the School of Economics and Management at Tilburg University.
Students can come from Turkey, Colombia and China.
Additionally, the school may strive for a certain distribution over the countries.
Applicants cannot be recipients of any other scholarships in that same academic year.
The scholarship will be awarded for the nominal length of the MSc program, which is one year for all programs.
Please note that students starting their program in February are not eligible.

Eligibility criteria
Holder of a non-EU passport only;
Excellent academic record.
Excellence for applicants is proven if the average grade over the entire program at the time of application is at least the equivalent of the Dutch grade of 8.0 on the scale 1-10.
Students belong to the top 5% of graduates from their class;
If applying for a Business Master a GMAT score of at least 670 is required – also for applicants from schools and/or programs exempt for GMAT for admission;
If applying for a Master in Economics or Econometrics a GRE percentile above 85 for the quantitative section is required - also for applicants from schools and/or programs exempt for GRE for admission;
Proof of English proficiency – IELTS/TOEFL/Cambridge Proficiency;
Two letters of recommendation by a Dean, Professor or Academic supervisor;
The quality of the application as a whole (completeness, accuracy, consistency).

https://www.tilburguniversity.edu/education/masters-programmes/tuition-fees-scholarships/Excellence-Scholarship-nonEEA-1/",10.000 euro,Netherlands,"China, Colombia and Turkey",March 1st 2017,Netherlands,,3,https://www.internationalscholarships.com/scholarships/2853/
Write an Excellent Essay about Substance Abuse – Win $500!,Luxury Beach Rehab - addiction treatment center,"We are asking participants in our essay contest to write about how social networks effect substance abuse among teenagers and students.
Any position about this topic may be expressed as long as it is an intelligent and well-crafted account. The writing and argumentation should show sound reasoning using accurate facts and data; furthermore, any first-hand experiences that have to do with alcohol or drug rehab should be related in an honest and insightful manner. The style of the piece must complement and strengthen its central ideas and conclusions.","- The article should beat least 800 words long and no more than 1000 words total.
-  Undergraduates and graduate students of all majors are invited to enter the contest by  submitting an essay written exclusively for this purpose.
 - The submitted writing need not adhere to academic conventions or a certain style, yet its rigor and polish must be comparable with the best student writing published within the top educational institutions and their publications. 
 - Citations and bibliography must have a self-consistent format.",$500,United States,"Afghanistan, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Ashmore and Cartier, Australia, Austria, Azerbaijan, The Bahamas, Bahrain, Baker Island, Bangladesh, Barbados, Bassas da India, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, British Virgin Islands, Brunei Darussalam, Bulgaria, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Canada, Cape Verde, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Clipperton Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the, Congo, Republic of the, Cook Islands, Coral Sea Islands, Costa Rica, Cote d'Ivoire, Croatia, Cuba, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, East Timor, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Ethiopia, Europa Island, Falkland Islands (Islas Malvinas), Faroe Islands, Fiji, Finland, France, France, Metropolitan, French Guiana, French Polynesia, French Southern & Antarctic Lands, Gabon, The Gambia, Gaza Strip, Georgia, Germany, Ghana, Gibraltar, Glorioso Islands, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City), Honduras, Hong Kong (SAR), Howland Island, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Jan Mayen, Japan, Jarvis Island, Jersey, Johnston Atoll, Jordan, Juan de Nova Island, Kazakhstan, Kenya, Kingman Reef, Kiribati, Korea, North, Korea, South, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Man, Isle of, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Midway Islands, Miscellaneous (French), Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Navassa Island, Nepal, Netherlands, Netherlands Antilles, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Palmyra Atoll, Panama, Papua New Guinea, Paracel Islands, Paraguay, Peru, Philippines, Pitcairn Islands, Poland, Portugal, Puerto Rico, Qatar, Reunion, Romania, Russia, Rwanda, Saint Helena, Saint Kitts and Nevis, Saint Lucia, Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Serbia and Montenegro, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Sandwich Islands, Spain, Spratly Islands, Sri Lanka, Sudan, Suriname, Svalbard, Swaziland, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Togo, Tokelau, Tonga, Trinidad and Tobago, Tromelin Island, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, United States Minor Outlying Islands, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, Virgin Islands (UK), Virgin Islands (US), Wake Island, Wallis and Futuna, West Bank, Western Sahara, Western Samoa, World, Yemen, Yugoslavia, Zaire, Zambia, Zimbabwe, Palestinian Territory, Occupied, Aland Islands, South Sudan and Kosovo",July 15th,United States,"- Only legal US residents are eligible to enter this contest.
 - One must be at least 18 years old.
 - Any students enrolled in a US college or university, undergraduates as well as graduate students, with any major, are welcome to participate in this essay contest.",1,https://www.internationalscholarships.com/scholarships/2858/
Future Leaders of Law,"12khz, LLC",We are offering an award to a student currently in law school,"SCHOLARSHIP DETAILS
$500

No essay needed

No application fees
ELIGIBILITY REQUIREMENTS

    Enrolled in law school in the U.S in Fall of 2017
    Declared law-related major OR enrolled in law school
    Minimum GPA of 3.25
    Record of community involvement
    Permanent U.S. resident or citizen",$500,United States,Unrestricted,July 31st,United States,,1,https://www.internationalscholarships.com/scholarships/2857/
KidGuard for Education Essay Scholarship,KidGuard,"TOPIC: Do you think parents should monitor their children’s phones and online activities?
 
We want to hear your honest opinion. The personal opinion expressed in your essay will in no way affect whether or not you are awarded the scholarship. We respect that everyone has their own opinions on the topic and want to hear what you have to say.
 
We want to stress that word count is not a deciding factor in this contest. However, this is a writing contest and you are expected to express your well-thought-out ideas clearly, supported with research and evidence.",**Please see KidGuard website for full details of the scholarship.,"$500~$1,500",United States,Unrestricted,31 March,United States,,1,https://www.internationalscholarships.com/scholarships/2844/
DirectTextbook.com 2017 High School Senior Scholarship Essay Contest,"Direct Textbooks, Inc","DirectTextbook.com 2017 High School Senior Scholarship Essay Contest


 In 500 words or less write a response to a friend that has just asked you this question: ""I have all these options in life, how do I choose the ones that create the life I want?""
Once the contest is closed, all essays will be reviewed. The winners of each award will be notified by email on or before June 8th, 2017.","Applicant must be: Current US citizen, a current high school senior and have a most recent GPA of 2.0 or higher.",1500,Unrestricted,Unrestricted,"May 4th, 2017",Unrestricted,"Award amount:  $3000 to first place, $1000 to second place, $500 to third place",3,https://www.internationalscholarships.com/scholarships/2862/
Western Union Foundation Global Scholarship Program,Western Union Foundation,"The Western Union Foundation Global Scholarship Program (WU Scholars) is a program designed to support young people across the world and their efforts to pursue a post-secondary education.

Selected scholarship recipients will receive $2,500 USD each to contribute toward tuition or school fees at an accredited post-secondary institution and will be selected based on criteria relating to the program's three pillars: Perseverance, Aspiration, and Community.

To be eligible, students must be seeking an undergraduate degree in one of the following categories: science, technology, engineering, mathematics, and business/entrepreneurship.

The application, which requires a letter of recommendation and an academic transcript, opens Wednesday March 8th. The application deadline is Wednesday, April 12 at noon Eastern Standard Time.

For more information and to apply, please visit https://foundation.westernunion.com/wuscholars/index.html. 

Please contact wufoundation@iie.org with any questions.","Scholarships must be used at an accredited post-secondary institution seeking an undergraduate degree.
All applicants must be pursuing a degree/field of study in one of the following categories: science, technology, engineering, mathematics, and business/entrepreneurship.
All applicants for scholarships must be between the ages of 18 - 26 years of age on June 1, 2017.
Application must be submitted in English. Translation services may be used to help non-English speakers submit. You will not be penalized for basic errors.
Must be able to demonstrate admittance to an accredited post-secondary institution or have applied for admittance.
Scholarships must be used on programs resulting in an undergraduate degree. Specialized academic programs (study abroad term, stand-alone language acquisition course, service learning, etc.) are not permitted.
Scholarships may not be used for advanced degrees, such as Masters, PhD, JD, etc.
Scholarships may be used for tuition or school fees during the academic term immediately following scholarship winner selections (estimated in July). Funds cannot be used for room and board or for school supplies.
Immediate family members of controlling officers in Western Union, any of its affiliates and non-affiliated nonprofit entities, or its Agents are not eligible to participate in the scholarship program. All other employees and their family members who meet the other eligibility requirements may apply.",2500 USD,Unrestricted,Unrestricted,April 12th,Unrestricted,Scholarships may be used for tuition or school fees during the academic term immediately following scholarship winner selections. Funds cannot be used for room and board or for school supplies.,100,https://www.internationalscholarships.com/scholarships/2864/
ESSAY WRITING CONTEST BY ESSAYHUB,EssayHub,"Have a registered working email address that is yours and only you have access to.
Any individual choosing to participate in this contest must be undergoing High School or higher level education (university, college )
Every submission must meet the minimum word count requirement of 500 words to 1000 words max.
All work for this essay contest must be written in English.We understand that the world is multilingual and we would enjoy reading such interesting works in their original language, however it would make conducting such an event nearly impossible.
Documents must be sent in Word or Doc type files as to allow easy access to them to the email address support@essayhub.com with subject line Essay Writing Contest.
The email submission requirements need you to place your name in the work itself and in the text of the email letter itself. Example: Essay Writing Contest - Joseph Smith.
Avoid continuously looking to debate whether you should be the winner or trying to convince the judges why you think you deserved to win. All judging is done anonymously and based SOLELY on the quality of the essay writer’s work. This allows for only the best essays to win.
We DO NOT accept the submission of any kind of scholarship essay.
Plagiarism is a no go. All those found guilty will be disqualified without being notified. No excuses, no exceptions. There are many referencing guides available on our website for you to use in case you get stuck.
In the case of a resubmission from a previous contest it will not be taken into account and regarded as plagiarism.","Available Topics For Our Essay Writing Contest

Participants are free to choose amongst any of the 10 available topics as these are frequently encountered and quite controversial.

Is the American Dream still alive?
Can money buy us happiness?
What could be done to improve the educational system?
Is taking written exams the best way to test one's knowledge?
Violence in video games, should teens play them?
Have technological advancements reduced our appreciation of human emotions?
Can peer pressure be good for self development?
Are the elderly entitled to free bus rides in our country?
Can our personal achievements and knowledge ever be examined without being bias?
To what extent do team sports influence our communication skills?",$1000,"Australia, Canada, United Kingdom, United States, United States Minor Outlying Islands, Virgin Islands (UK) and Virgin Islands (US)",Unrestricted,April 30th,"Australia, Canada, United Kingdom, United States, United States Minor Outlying Islands, Virgin Islands (UK) and Virgin Islands (US)","1st Place - $500
2nd Place - $300
3rd Place - $200",3,https://www.internationalscholarships.com/scholarships/2863/
Fall 2017 Creative Biolabs Scholarship Program,Creative Biolabs,"As a leading custom service provider specialized in the field of antibody production and engineering, Creative Biolabs is always happy to support young and ambitious talents in our field.

In an effort to further support their research and higher education in the medical and science-related field, Creative Biolabs is proud to announce its first Fall Scholarship Program following the successful Spring Scholarship Program. Also, we’ll award $1,000 to an outstanding college student in fall 2017!

Undergraduate, graduate and Ph.D. students, majoring in a science related field such as Biology, Biochemistry, Chemistry, and Molecular Biology, are encouraged to apply.","• Applicants must major in a science related field
• Open worldwide
• Candidates must be enrolled as a freshman, undergraduate, graduate or Ph.D. student at an accredited college or university
• All eligible candidates must reach a cumulative average grade of a B (3.0 GPA).","$ 1,000",Unrestricted,Unrestricted,August 15th,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/2859/
Crush The PMP Scholarship Program,Crush Empire,One Grand Prize Winner will receive a PMP Review Course from PM Training ($599 value) and a reimbursement of up to $555 for the exam fee and the PMI fee.,In order to be considered for this scholarship you must be an actively enrolled college student in the last semester of obtaining your degree or a recent graduate with a final cumulative GPA of 3.0 or higher who plans on taking the PMP Exam. People who are also employed within the project management industry are also eligible.,"$1,154",Unrestricted,Unrestricted,May 31st,Unrestricted,"1. Reimbursement of up to $555 for exam and PMI fees 

2. PM Training PMP Review Course ($599 value)

Flexible course access
Intensive curriculum
35 hours of interactive lessons and material
Accreditation and credits earned
Prep course manual (eBook)
More than 250 printable course slides
Formula cheat sheet
Mock exam and knowledge quizzes
Memory map exercises",1,https://www.internationalscholarships.com/scholarships/2870/
Crush The GMAT Scholarship Program,Crush Empire,One Grand Prize Winner will receive a $250 reimbursement of GMAT fees plus free access to a Magoosh review course that’s valued at $399!,"In order to be considered for this MBA scholarship, you should be actively pursuing a business school degree. This means you’re either working and getting ready to study for the test or in school and looking to reach that next degree. All candidates must have a cumulative GPA of 3.0 or higher. We will select the best candidate based on a range of factors, including GPA, work experience, and performance.",$649,Unrestricted,Unrestricted,May 31st,Unrestricted,"1. $250 reimbursement of GMAT fees
2. Magoosh GMAT Review Course ($399 value)",1,https://www.internationalscholarships.com/scholarships/2868/
$1000 Scholarship in Support of Those Under the Revised US Travel Ban,Market Inspector,"We at Market Inspector, are a multicultural team of digital marketing enthusiasts, many of which have left their country of origin to work here. Unity in diversity has allowed us to grow immensely as a company and is something we want to actively promote all over.

So, we gladly announce our first scholarship of $1,000 to support students from the 6 travel banned countries by the Trump administration:

Iran, Libya, Somalia, Sudan, Syria, and Yemen.

There are two main prerequisites that must be met to be eligible for the scholarship:

1. All the participants should have been born in one of the following countries: Iran, Libya, Somalia, Sudan, Syria and Yemen. 

2. All the participants should be either currently enrolled or have been accepted at an accredited UK/US post-secondary educational institution within 2017.

The applicant must also be able to provide the following documentation:

Documents
1. A copy of a valid passport or birth certificate.
2. Transcripts or similar documentation proving that the applicant is currently enrolled or has been accepted at an accredited UK or US university.
3. An essay outlining why they feel that they should be chosen to receive the scholarship.
 

*The essay should represent you, where do you plan to spend the money, why do you want to obtain this specific degree, and why you are the most suitable candidate for the scholarship.

Essay Requirements - 

The essay must be written in English.
The number of words should be between 1,000-1,500.
All documents must be submitted in MS Word or PDF format.
The content of the essay must be written by the applicant and be 100% original.

The applicants should submit all the documents via email at scholarship@market-inspector.co.uk.

Write “Scholarship Application + Your Name” in the subject line.

Deadline - 
The application deadline is 31st October 2017 midnight UTC (+01:00). The winner will be announced on 1st December 2017.

Selection Process - 
All the applications and essays will be reviewed by a committee within the company. The final decision will be made according to the most creative, well-structured, and comprehensive application essay.",,$1000,United Kingdom and United States,"Iran, Libya, Somalia, Sudan, Syria and Yemen",October 31st,United Kingdom and United States,,1 per semester,https://www.internationalscholarships.com/scholarships/2877/
Crush The LSAT Exam Scholarship Program,Crush Empire,One Grand Prize Winner will receive a $175 reimbursement of LSAT fees plus free access to a Magoosh review course that’s valued at $399!,"In order to be considered for this scholarship, you should be enrolled and active in a college or university, and in the last year of your collegiate education. Recent graduates can apply too, but all candidates must have a cumulative GPA of 3.0 or higher. Being on a law school track may help, but we will choose the best overall candidate.",$574,Unrestricted,Unrestricted,May 31st,Unrestricted,"1. $175 reimbursement of LSAT fees
2. Magoosh LSAT Review Course ($399 value)",1,https://www.internationalscholarships.com/scholarships/2867/
